"Año","Trimestre","Departamento","VIS - Policía Nacional","VIS - Ejército Nacional","VIS - Fuerza Aérea Colombiana","VIS - Armada Nacional","VIS - Otros*","No VIS - Policía Nacional","No VIS - Ejército Nacional","No VIS - Fuerza Aérea Colombiana","No VIS - Armada Nacional","No VIS - Otros*"
"2.021","4","MAGDALENA","23","19",,"1",,"2","1",,"2",
"2.021","4","META","109","74","2","1",,"5","7","1",,
"2.021","4","NARIÑO","31","29",,,,"1","2",,,
"2.021","4","NORTE DE SANTANDER","57","52",,"5",,"2","10",,,
"2.021","4","PUTUMAYO","13","20",,"1",,,,,,
"2.021","4","QUINDIO","27","27",,"2",,"2","4",,"1",
"2.021","4","RISARALDA","55","17","2","2",,"3",,,,
"2.021","4","SANTANDER","89","61",,"12",,"12","10",,"1",
"2.021","4","SUCRE","23","10",,"17",,,"2",,,
"2.021","4","TOLIMA","68","94","2","7",,"10","10","6",,
"2.021","4","VALLE DEL CAUCA","148","66","3","9",,"4","6","3","2",
"2.021","4","VICHADA",,"1",,,,,,,,
"2.022","1","AMAZONAS","2","0","0","0","0","0","0","0","0","0"
"2.022","1","ANTIOQUIA","155","111","1","5","0","3","3","3","0","0"
"2.022","1","ARAUCA","1","3","0","0","0","0","0","0","0","0"
"2.022","1","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","1","1","0","0","0","0","0","0","0","0"
"2.022","1","ATLÁNTICO","76","18","3","18","0","1","0","0","2","0"
"2.022","1","BOGOTÁ, D.C.","159","57","17","8","0","21","32","10","10","1"
"2.022","1","BOLÍVAR","40","7","0","36","0","0","0","0","9","0"
"2.022","1","BOYACÁ","61","45","0","2","0","5","9","0","0","0"
"2.022","1","CALDAS","42","13","2","2","0","1","1","0","0","0"
"2.022","1","CAQUETÁ","10","34","0","1","0","0","1","0","0","0"
"2.022","1","CASANARE","13","17","0","0","0","0","2","0","0","0"
"2.022","1","CAUCA","16","21","0","1","0","0","1","0","0","0"
"2.022","1","CESAR","30","53","0","0","0","0","2","0","0","0"
"2.022","1","CHOCÓ","13","8","0","0","0","0","0","0","0","0"
"2.022","1","CÓRDOBA","47","26","0","10","0","0","2","0","0","0"
"2.022","1","CUNDINAMARCA","64","50","6","6","0","1","6","0","3","0"
"2.022","1","GUAINÍA","0","1","0","0","0","0","0","0","0","0"
"2.022","1","GUAVIARE","2","3","0","0","0","0","0","0","0","0"
"2.022","1","HUILA","47","73","0","1","0","1","2","0","0","0"
"2.022","1","LA GUAJIRA","13","13","0","0","0","0","0","0","0","0"
"2.022","1","MAGDALENA","28","18","0","0","0","0","1","0","0","0"
"2.022","1","META","85","53","7","0","0","1","1","3","0","0"
"2.022","1","NARIÑO","23","19","0","0","0","1","1","0","0","0"
"2.022","1","NORTE DE SANTANDER","64","61","0","7","0","4","1","0","0","0"
"2.022","1","PUTUMAYO","5","8","0","0","0","0","0","0","0","0"
"2.022","1","QUINDIO","22","33","1","4","0","2","4","0","1","0"
"2.022","1","RISARALDA","54","23","0","4","0","3","2","0","0","0"
"2.022","1","SANTANDER","66","71","1","7","0","7","7","0","1","0"
"2.022","1","SUCRE","23","14","0","16","0","0","0","0","0","0"
"2.022","1","TOLIMA","58","81","3","3","0","5","4","0","0","0"
"2.022","1","VALLE DEL CAUCA","111","63","2","7","0","3","10","0","2","0"
"2.022","1","VICHADA","0","1","0","0","0","0","0","0","0","0"
"2.022","2","AMAZONAS","3","1","0","0","0","0","0","0","0","0"
"2.022","2","ANTIOQUIA","144","106","4","8","0","4","4","2","1","0"
"2.022","2","ARAUCA","2","1","0","0","0","0","1","0","0","0"
"2.022","2","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","0","0","1","0","0","0","0","0","0","0"
"2.022","2","ATLÁNTICO","82","15","3","28","0","2","2","0","1","0"
"2.022","2","BOGOTÁ, D.C.","146","89","17","17","1","23","25","17","5","1"
"2.022","2","BOLÍVAR","30","10","0","16","0","1","0","0","5","0"
"2.022","2","BOYACÁ","50","40","0","2","0","3","7","0","0","0"
"2.022","2","CALDAS","40","18","4","1","0","3","2","0","0","0"
"2.022","2","CAQUETÁ","10","44","0","0","0","1","1","0","0","0"
"2.022","2","CASANARE","13","19","1","0","0","0","0","0","0","0"
"2.022","2","CAUCA","31","43","0","0","0","7","3","0","0","0"
"2.022","2","CESAR","20","46","0","6","0","0","2","0","0","0"
"2.022","2","CHOCÓ","11","7","0","0","0","0","0","0","0","0"
"2.022","2","CÓRDOBA","39","37","0","17","0","1","1","0","0","0"
"2.022","2","CUNDINAMARCA","102","80","10","3","0","3","17","3","4","0"
"2.022","2","GUAINÍA","3","0","0","0","0","0","0","0","0","0"
"2.022","2","GUAVIARE","3","2","0","0","0","0","0","0","0","0"
"2.022","2","HUILA","30","73","1","2","0","3","8","0","1","0"
"2.022","2","LA GUAJIRA","9","6","0","1","0","0","0","0","0","0"
"2.022","2","MAGDALENA","23","12","0","2","0","2","2","0","0","0"
"2.022","2","META","77","58","3","3","0","5","4","0","1","0"
"2.022","2","NARIÑO","20","20","0","0","0","0","4","0","0","0"
"2.022","2","NORTE DE SANTANDER","76","45","0","8","0","1","1","0","0","0"
"2.022","2","PUTUMAYO","4","14","0","2","0","0","0","0","0","0"
"2.022","2","QUINDIO","40","36","0","7","0","2","2","1","0","0"
"2.022","2","RISARALDA","54","23","1","4","0","1","2","0","0","0"
"2.022","2","SANTANDER","75","72","0","10","0","6","6","1","3","0"
"2.022","2","SUCRE","29","5","0","25","0","0","0","0","0","0"
"2.022","2","TOLIMA","84","117","0","4","0","6","14","2","2","0"
"2.022","2","VALLE DEL CAUCA","143","96","3","13","0","6","6","2","0","0"
"2.022","2","VAUPÉS","0","0","0","0","0","0","1","0","0","0"
"2.022","2","VICHADA","1","0","0","0","0","0","0","0","0","0"
"2.022","3","ANTIOQUIA","156","110","1","7","0","5","8","0","1","0"
"2.022","3","ARAUCA","2","4","0","1","0","0","0","0","0","0"
"2.022","3","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","1","0","0","0","0","0","0","0","0","0"
"2.022","3","ATLÁNTICO","68","24","6","23","0","3","4","0","2","0"
"2.022","3","BOGOTÁ, D.C.","182","65","7","14","0","22","31","9","6","1"
"2.022","3","BOLÍVAR","34","3","0","24","0","1","0","0","8","0"
"2.022","3","BOYACÁ","70","39","0","3","0","1","9","0","0","0"
"2.022","3","CALDAS","42","20","1","1","0","1","1","0","0","0"
"2.022","3","CAQUETÁ","11","37","0","2","0","0","2","0","0","0"
"2.022","3","CASANARE","11","28","0","0","0","1","0","0","0","0"
"2.022","3","CAUCA","23","45","0","0","0","0","1","0","0","0"
"2.022","3","CESAR","39","49","0","2","0","0","1","0","0","0"
"2.022","3","CHOCÓ","8","2","0","0","0","0","0","0","0","0"
