"Año","Trimestre","Departamento","Nueva- VIS","Nueva- No VIS","Usada - VIS","Usada- No VIS"
"2.022","3","CAQUETÁ","3","0","50","2"
"2.022","3","CASANARE","2","0","39","1"
"2.022","3","CAUCA","7","1","68","1"
"2.022","3","CESAR","13","2","90","1"
"2.022","3","CHOCÓ","1","0","10","0"
"2.022","3","CÓRDOBA","5","1","105","1"
"2.022","3","CUNDINAMARCA","24","5","192","18"
"2.022","3","GUAVIARE","1","0","9","0"
"2.022","3","HUILA","13","1","119","10"
"2.022","3","LA GUAJIRA","1","0","18","0"
"2.022","3","MAGDALENA","4","0","56","0"
"2.022","3","META","3","2","115","8"
"2.022","3","NARIÑO","4","0","62","4"
"2.022","3","NORTE DE SANTANDER","14","1","118","6"
"2.022","3","PUTUMAYO","1","0","16","0"
"2.022","3","QUINDIO","7","2","113","6"
"2.022","3","RISARALDA","7","0","87","6"
"2.022","3","SANTANDER","14","6","172","16"
"2.022","3","SUCRE","3","0","64","0"
"2.022","3","TOLIMA","10","5","184","19"
"2.022","3","VALLE DEL CAUCA","19","4","187","8"
"2.022","3","VICHADA","0","0","1","0"
"2.022","4","AMAZONAS","0","0","2","0"
"2.022","4","ANTIOQUIA","15","6","400","18"
"2.022","4","ARAUCA","0","0","4","1"
"2.022","4","ATLÁNTICO","8","1","164","13"
"2.022","4","BOGOTÁ, D.C.","37","20","339","92"
"2.022","4","BOLÍVAR","10","1","86","4"
"2.022","4","BOYACÁ","22","1","125","12"
"2.022","4","CALDAS","5","0","87","2"
"2.022","4","CAQUETÁ","1","0","73","1"
"2.022","4","CASANARE","2","0","51","4"
"2.022","4","CAUCA","4","1","99","4"
"2.022","4","CESAR","10","0","119","1"
"2.022","4","CHOCÓ","2","0","17","0"
"2.022","4","CÓRDOBA","2","0","126","0"
"2.022","4","CUNDINAMARCA","20","6","215","23"
"2.022","4","GUAVIARE","0","0","9","1"
"2.022","4","HUILA","11","1","177","6"
"2.022","4","LA GUAJIRA","0","0","36","0"
"2.022","4","MAGDALENA","4","1","60","5"
"2.022","4","META","9","1","226","12"
"2.022","4","NARIÑO","6","0","66","4"
"2.022","4","NORTE DE SANTANDER","9","0","181","11"
"2.022","4","PUTUMAYO","2","0","26","0"
"2.022","4","QUINDIO","2","1","116","4"
"2.022","4","RISARALDA","11","0","96","9"
"2.022","4","SANTANDER","28","2","189","23"
"2.022","4","SUCRE","3","0","99","2"
"2.022","4","TOLIMA","16","4","248","22"
"2.022","4","VALLE DEL CAUCA","13","1","295","23"
"2.022","4","VICHADA","0","0","1","0"
"2.023","1","AMAZONAS","0","0","2","0"
"2.023","1","ANTIOQUIA","10","2","248","28"
"2.023","1","ARAUCA","1","0","3","0"
"2.023","1","ATLÁNTICO","5","2","137","7"
"2.023","1","BOGOTÁ, D.C.","25","5","289","83"
"2.023","1","BOLÍVAR","10","3","97","3"
"2.023","1","BOYACÁ","15","3","91","13"
"2.023","1","CALDAS","5","0","80","8"
"2.023","1","CAQUETÁ","4","0","63","0"
"2.023","1","CASANARE","2","0","35","1"
"2.023","1","CAUCA","9","1","45","2"
"2.023","1","CESAR","9","0","88","1"
"2.023","1","CHOCÓ","1","0","17","0"
"2.023","1","CÓRDOBA","2","1","107","4"
"2.023","1","CUNDINAMARCA","19","1","136","14"
"2.023","1","GUAVIARE","1","0","11","0"
"2.023","1","HUILA","7","2","106","8"
"2.023","1","LA GUAJIRA","1","0","28","0"
"2.023","1","MAGDALENA","2","0","46","5"
"2.023","1","META","12","1","162","10"
"2.023","1","NARIÑO","3","0","60","4"
"2.023","1","NORTE DE SANTANDER","7","0","161","11"
"2.023","1","PUTUMAYO","1","0","22","3"
"2.023","1","QUINDIO","3","3","73","5"
"2.023","1","RISARALDA","8","1","84","18"
"2.023","1","SANTANDER","23","3","171","15"
"2.023","1","SUCRE","3","0","70","1"
"2.023","1","TOLIMA","22","6","154","26"
"2.023","1","VALLE DEL CAUCA","21","4","222","21"
"2.023","1","VICHADA","0","0","2","0"
"2.023","2","AMAZONAS","0","0","3","0"
"2.023","2","ANTIOQUIA","3","1","295","15"
"2.023","2","ARAUCA","1","0","6","0"
"2.023","2","ATLÁNTICO","11","3","139","2"
"2.023","2","BOGOTÁ, D.C.","22","10","254","85"
"2.023","2","BOLÍVAR","5","1","75","6"
"2.023","2","BOYACÁ","6","2","113","26"
"2.023","2","CALDAS","2","0","61","8"
"2.023","2","CAQUETÁ","2","0","56","1"
"2.023","2","CASANARE","1","0","60","2"
"2.023","2","CAUCA","0","0","108","3"
"2.023","2","CESAR","1","0","81","3"
"2.023","2","CHOCÓ","0","0","18","0"
"2.023","2","CÓRDOBA","5","1","101","5"
"2.023","2","CUNDINAMARCA","12","4","206","25"
"2.023","2","GUAVIARE","2","0","4","0"
"2.023","2","HUILA","9","2","112","8"
"2.023","2","LA GUAJIRA","0","0","26","1"
"2.023","2","MAGDALENA","3","0","46","1"
"2.023","2","META","6","2","177","17"
"2.023","2","NARIÑO","3","0","44","2"
"2.023","2","NORTE DE SANTANDER","8","0","123","7"
"2.023","2","PUTUMAYO","1","0","13","0"
"2.023","2","QUINDIO","2","0","94","8"
"2.023","2","RISARALDA","2","1","79","4"
"2.023","2","SANTANDER","19","3","151","21"
"2.023","2","SUCRE","3","0","78","0"
"2.023","2","TOLIMA","16","3","205","24"
"2.023","2","VALLE DEL CAUCA","15","0","220","15"
"2.023","2","VICHADA","0","0","3","0"
"2.023","3","AMAZONAS","0","0","4","0"
"2.023","3","ANTIOQUIA","8","0","285","17"
"2.023","3","ARAUCA","0","0","3","0"
"2.023","3","ATLÁNTICO","6","3","133","9"
